Set_No,2025_Set
1,M1
2,M2
3,BA1
4,AL1
5,WK1
6,FA1
7,SP1
8,UBA1
9,UAL1
10,UWK1
11,UFA1
12,USP1
13,BA2
14,AL2
15,WK2
16,FA2
17,SP2
18,UBA2
19,UAL2
20,UWK2
21,UFA2
22,USP2
23,BA3
24,AL3
25,WK3
26,FA3
27,SP3
28,UBA3
29,UAL3
30,UWK3
31,UFA3
32,USP3
33,BA4
34,AL4
35,WK4
36,FA4
37,UBA4
38,UAL4
39,UWK4
40,UFA4
41,USP4
42,BA5
43,AL5
44,FA5
45,UBA5
46,UAL5
47,UWK5
48,UFA5
49,USP5
50,AL6
51,FA6
52,UBA6
53,UAL6
54,UWK6
55,UFA6
56,AL7
57,FA7
58,UBA7
59,UAL7
60,UFA7
61,AL8
62,FA8
63,UBA8
64,UAL8
65,UFA8
66,AL9
67,FA9
68,UBA9
69,UAL9
70,UFA9
72,AL10
72,FA10
73,UAL10
74,UFA10
75,UAL11
76,UAL12
77,UAL13
78,UAL14
79,UAL15
