Serial_No,Name,Set,Specialism,Batting_Style,Bowling_Style,Test_Caps,ODI_Caps,T20_Caps,IPL_Matches,Player_Status,Reserve_Price_Lakh
1,Devon Conway,BA1,BATTER,LHB,,29,40,62,29,Capped,200
2,Jake Fraser-McGurk,BA1,BATTER,RHB,,0,7,8,15,Capped,200
3,Cameron Green,BA1,BATTER,RHB,RIGHT ARM Fast,33,31,21,29,Capped,200
4,Sarfaraz Khan,BA1,BATTER,RHB,RIGHT ARM Leg Spin,6,0,0,50,Capped,75
5,David Miller,BA1,BATTER,LHB,,0,178,130,141,Capped,200
6,Prithvi Shaw,BA1,BATTER,RHB,,5,6,1,79,Capped,75
7,Gus Atkinson,AL1,ALL-ROUNDER,RHB,RIGHT ARM Fast,14,11,4,0,Capped,200
8,Wanindu Hasaranga,AL1,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,4,68,90,37,Capped,200
9,Deepak Hooda,AL1,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,0,10,21,125,Capped,75
10,Venkatesh Iyer,AL1,ALL-ROUNDER,LHB,RIGHT ARM Medium,0,2,9,62,Capped,200
11,Liam Livingstone,AL1,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,1,39,60,49,Capped,200
12,Wiaan Mulder,AL1,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,24,30,11,1,Capped,100
13,Rachin Ravindra,AL1,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,17,39,38,18,Capped,200
14,Finn Allen,WK1,WICKETKEEPER,RHB,,0,22,52,0,Capped,200
15,Jonny Bairstow,WK1,WICKETKEEPER,RHB,,100,107,80,52,Capped,100
16,K.S. Bharat,WK1,WICKETKEEPER,RHB,,7,0,0,10,Capped,75
17,Quinton De Kock,WK1,WICKETKEEPER,LHB,,54,161,96,115,Capped,100
18,Ben Duckett,WK1,WICKETKEEPER,LHB,,39,31,20,0,Capped,200
19,Rahmanullah Gurbaz,WK1,WICKETKEEPER,RHB,,2,52,80,19,Capped,150
20,Jamie Smith,WK1,WICKETKEEPER,RHB,,16,19,5,0,Capped,200
21,Gerald Coetzee,FA1,BOWLER,RHB,RIGHT ARM Fast,4,14,13,14,Capped,200
22,Akash Deep,FA1,BOWLER,RHB,RIGHT ARM Fast,10,0,0,14,Capped,100
23,Jacob Duffy,FA1,BOWLER,RHB,RIGHT ARM Fast Medium,1,19,38,0,Capped,200
24,Fazalhaq Farooqi,FA1,BOWLER,RHB,LEFT ARM Fast Medium,0,42,51,12,Capped,100
25,Matt Henry,FA1,BOWLER,RHB,RIGHT ARM Fast Medium,32,95,31,6,Capped,200
26,Spencer Johnson,FA1,BOWLER,LHB,LEFT ARM Fast,0,5,8,9,Capped,150
27,Shivam Mavi,FA1,BOWLER,RHB,RIGHT ARM Fast Medium,0,0,6,32,Capped,75
28,Anrich Nortje,FA1,BOWLER,RHB,RIGHT ARM Fast,19,22,42,48,Capped,200
29,Matheesha Pathirana,FA1,BOWLER,RHB,RIGHT ARM Fast,0,12,21,32,Capped,200
30,Ravi Bishnoi,SP1,BOWLER,RHB,RIGHT ARM Leg Spin,0,1,42,77,Capped,200
31,Rahul Chahar,SP1,BOWLER,RHB,RIGHT ARM Leg Spin,0,1,6,80,Capped,100
32,Akeal Hosein,SP1,BOWLER,LHB,LEFT ARM Slow Orthodox,0,40,87,1,Capped,200
33,Mujeeb Rahman,SP1,BOWLER,RHB,RIGHT ARM Off Spin,1,75,58,20,Capped,200
34,Maheesh Theekshana,SP1,BOWLER,RHB,RIGHT ARM Off Spin,2,59,71,38,Capped,200
35,Aarya Desai,UBA1,BATTER,LHB,RIGHT ARM Off Spin,0,0,0,0,Uncapped,30
36,Yash Dhull,UBA1,BATTER,RHB,RIGHT ARM Leg Spin,0,0,0,4,Uncapped,30
37,Abhinav Manohar,UBA1,BATTER,RHB,RIGHT ARM Leg Spin,0,0,0,26,Uncapped,30
38,Anmolpreet Singh,UBA1,BATTER,RHB,RIGHT ARM Off Spin,0,0,0,9,Uncapped,30
