# Abhimanyu Easwaran Stats

### Batting Statistics

|Tournament|Mat|Inn|No|R|BF|100s|50s|4s|6s|S/R|Avg|H|
|--|--|--|--|--|--|--|--|--|--|--|--|--|
|Ranji Trophy|47|84|10|3861|6907|13|12|441|12|55.90|52.18|201|
|Vijay Hazare Trophy|45|44|3|2045|2487|6|8|212|10|82.23|49.88|149|
|Syed Mushtaq Ali Trophy|30|28|4|740|596|0|4|69|17|124.16|30.83|87|
|Deodhar Trophy|11|11|1|405|517|1|1|47|1|78.34|40.50|100|
### Bowling Statistics

|Tournament|Mat|Inn|Ov|B|R|W|E/R|Dots|Mdns|Avg|S/R|
|--|--|--|--|--|--|--|--|--|--|--|--|
|Ranji Trophy|47|2|5|30|31|0|6.20|0|0|0|0|
|Vijay Hazare Trophy|45|0|0|0|0|0|0|0|0|0|0|
|Syed Mushtaq Ali Trophy|30|0|0|0|0|0|0|0|0|0|0|
|Deodhar Trophy|11|0|0|0|0|0|0|0|0|0|0|
|Match|RUNS|BF|4s|6s|S/R|O|R|W|E/R|
|--|--|--|--|--|--|--|--|--|--|
|AUS-A vs IND-A|44|58|6|0|75.86|0|0|0|0|
|IND-A vs ENG-A|11 & 80|13 & 92|2 & 10|0 & 0|84.62 & 86.96|0|0|0|0|
|IND-A vs ENG-A|8 & 68|17 & 87|2 & 8|0 & 0|47.06 & 78.16|0|0|0|0|
|HAR vs BGL|10|17|1|0|58.82|0|0|0|0|
|PM-XI vs IND|0|0|0|0|0|0|0|0|0|
|IND-A vs AUS-A|0 & 17|3 & 31|0 & 2|0 & 0|0.00 & 54.84|0|0|0|0|
|IND-A vs AUS-A|7 & 12|30 & 32|0 & 0|0 & 0|23.33 & 37.50|0|0|0|0|
|BGL vs UP|5 & 127|17 & 172|1 & 12|0 & 0|29.41 & 73.84|0|0|0|0|
|MUM vs ROI|191|292|16|1|65.41|0|0|0|0|
|IND-D vs IND-B|116 & 19|170 & 32|13 & 3|1 & 0|68.24 & 59.38|0|0|0|0|
